conv_id,turn_id,sentence1,sentence2,label
61.5,34,"A (xpertwinner): akik: dont really know what fstab is for. do I need to change that file? A (xpertwinner): I added 32768 with the -o option B (akik): xpertwinner: when using fstab, the options go into the 3rd last column B (akik): xpertwinner: and you just need to add ,sb=32768 to the other options that are already there A (xpertwinner): akik: output of dumpe2fs:Attempt to read block from filesystem resulted in short read while trying to open /dev/sdb5 B (akik): xpertwinner: ok maybe you need to use mke2fs -n then A (xpertwinner): akik: I am a bit lost about the using fstab, how do I use it? this is the content http://pastebin.com/9C2M1TrJ","B (akik): xpertwinner: and you just need to add ,sb=32768 to the other options that are already there",0
94.1,45,"B (coz_): mikubuntu,   this is a tar.bz2  package ...yes? A (mikubuntu): coz_: http://imagebin.org/115378 A (mikubuntu): coz_: yes it was a tar.bz2 B (coz_): mikubuntu,   and that package still exists on the desktop ...yes? A (mikubuntu): i don't see it on the desktop, but it's 'in' the archive mgr window B (coz_): mikubuntu,  and it is named   Celtx-2.7.tar.bz2   ...yes? B (coz_): mikubuntu,   mmm  find the actuall location of the package","B (coz_): mikubuntu,   and that package still exists on the desktop ...yes?",0
31.88,9,"A (_root_): Ben64:  for example? B (Ben64): _root_: interfaces file, firewall, something else A (_root_): Ben64: this is the only file i did editing on http://paste.ubuntu.com/6473167/ B (Ben64): _root_: are you sure you have multiple nics A (_root_): Ben64: http://paste.ubuntu.com/6473657/ B (Ben64): _root_: strange. you should contact ovh, thats what you pay them for :D A (_root_): Ben64: how did you get the OVH part",B (Ben64): _root_: are you sure you have multiple nics,0
92.1,45,A (mohanohi): Slydder :  ok A (mohanohi): Slydder :  http://pastebin.com/1J0dt9YE B (Slydder): mohanohi: your system is hosed A (mohanohi): Slydder : huh? A (mohanohi): Slydder : oh god! B (Slydder): mohanohi: what does apt-get -f install do now? A (mohanohi): Slydder : http://pastebin.com/TXEWSnw0,A (mohanohi): Slydder : huh?,1
71.1,32,"B (tatertots): alias_neo: share url/link here A (alias_neo): tatertots: http://paste.ubuntu.com/23875463/ B (tatertots): alias_neo: looks good B (tatertots): alias_neo: again not officially supported from the qlogic perspective but the module is loaded A (alias_neo): tatertots: So any idea how I get it to do IP given the HBA is loaded? I have no idea how I make it a network device A (alias_neo): tatertots: ifconfig -a doesn't list it, perhaps I have to ""create"" a device some how? B (tatertots): alias_neo: the ROM isn't loaded",B (tatertots): alias_neo: again not officially supported from the qlogic perspective but the module is loaded,0
61.3,26,"B (Sylphid): philsf, what live cd's have you tried? A (philsf): Sylphid: hardy, both a desktop CD and the dvd B (Sylphid): philsf, and both failed A (philsf): Sylphid: correct A (philsf): Sylphid: I have a nvidia card I can remove for tests, but since it's working in windows, and not working in the live cd, it shouldn't be a regression in the new kernel B (Sylphid): philsf, correct... the only thing that makes sense is hardware... have any *nix installs worked since the new drive was installed? A (philsf): Sylphid: hardy yes, for over a week, debian I haven't used in over a year",A (philsf): Sylphid: correct,0
58.3,37,"A (irisk): http://sprunge.us/HhOY B (EriC^): ok A (irisk): empty B (EriC^): ok, next time when it crashes check dmesg or /var/log/syslog A (irisk): will do A (irisk): that last command ? B (EriC^): or you could try running it from a terminal and keeping it open so it might say why it crashed","B (EriC^): ok, next time when it crashes check dmesg or /var/log/syslog",1
30.53,20,"B (kostkon): Eraldo, does it load? A (Eraldo): kostkon: yeah... but with that error B (kostkon): Eraldo, ok. ignore it for the moment A (Eraldo): kostkon: http://tmp.eraldo.at/Screenshot-GNOME ALSA Mixer.png A (Eraldo): kostkon: http://eraldo_helal.public1.linz.at/tmp/Screenshot-GNOME%20ALSA%20Mixer.png B (kostkon): Eraldo, wow. a lot of volumes B (kostkon): Eraldo, i can see for example that the ""mic"" volume is muted",A (Eraldo): kostkon: http://tmp.eraldo.at/Screenshot-GNOME ALSA Mixer.png,0
31.58,15,"A (mun): coz_, 'cos i've tried it and it complains about EFCLAS B (coz_): mun,   mm hold on B (coz_): mun,   reopen synaptic   hit ""Search""   type in        gtk2-engines   then right click that package   and select ""Mark for reinstallation"" A (mun): coz_, nope. no difference. B (coz_): mun,   the ubuntulooks engine is part of the gtk2-engines package... restart x  and see if it has changed A (mun): coz_, ok A (mun): coz_, thanks. brb","A (mun): coz_, nope. no difference.",0
78.1,49,"B (kostkon): linuxguy2009, sudo dpkg --remove --force-remove-reinstreq adobe-flashplugin B (kostkon): linuxguy2009, w8 A (linuxguy2009): kostkon: synaptic says there is an error in the package. B (kostkon): linuxguy2009, does ls /var/lib/dpkg/info/adobe* gives you anything now? A (linuxguy2009): kostkon: wont remove. hehe Must be not 9.10 compatible yet. B (kostkon): linuxguy2009, to be sure B (kostkon): linuxguy2009, ls /var/lib/dpkg/info/adobe*","B (kostkon): linuxguy2009, does ls /var/lib/dpkg/info/adobe* gives you anything now?",0
