conv_id,turn_id,sentence1,sentence2,label
86.1,12,"B (TJ-): varaindemian: nothing stands out there as a problem B (TJ-): varaindemian: hard freeze/hang as you describe suggests a hardware problem of some sort, or hardware/firmware B (TJ-): varaindemian: one thing it could be is overheating - does the hang happen predictably? E.g. same amount of time after boot, or after doing some specific task(s) ? B (TJ-): varaindemian: it could also be a memory hog eating up memory to the point the system gets stuck. Have you monitored memory usage ? A (varaindemian): TJ-: Nope, nope A (varaindemian): Right now I have usb ethernet connection A (varaindemian): so It might be due to this.. A (varaindemian): I have no idea B (TJ-): varaindemian: is there any pattern at all to when it occurs? A (varaindemian): TJ-: where can I get more info about this? A (varaindemian): TJ-: absolutely not",A (varaindemian): Right now I have usb ethernet connection,0
63.1,58,"A (theTrav): is it just running nautilus? or is it more complex than that? B (ArthurArchnix): dmesg? B (ArthurArchnix): I take it restoring didn't help. B (ArthurArchnix): theTrav: Two comments above this line. A (theTrav): ArthurArchnix, I restored to the most recent backup but it didn't help A (theTrav): don't know what dmesg is B (ArthurArchnix): theTrav: I'd create a new user, log in and see if the problem is gone. It might be faster than troubleshooting, though it's possible someone will give you a one second fix any second. It's impossible for me to say. B (ArthurArchnix): theTrav: Open terminal and type in ""dmesg"" you can post the output to pastebin. Your xorg was very different from any I've seen. Don't know where to start or what to look for in it. Sorry. A (theTrav): ArthurArchnix, http://paste.ubuntu-nl.org/45186/ A (theTrav): ArthurArchnix, I'm trying the new user approach as well just to check it out",A (theTrav): don't know what dmesg is,1
79.2,21,"A (fortuneHuntr): yes B (k1l): i doubt A (fortuneHuntr): k1l, i entered the command exactly as you requested adn double-checked B (k1l): i bet you sorted for ""ii"" A (fortuneHuntr): k1l, no i did *exactly* as you requested B (k1l): so that is a special setup? A (fortuneHuntr): k1l, no - it was a VM that i got lazy updating - so i was instructed to do a do-release-upgrade and now here we are A (fortuneHuntr): k1l, (it's xubuntu, but i don't know if that matters) B (k1l): what vm technic is used? A (fortuneHuntr): k1l, vmware B (k1l): fortuneHuntr: well, that command should show a lot more kernel packages",B (k1l): so that is a special setup?,1
22.501,17,"B (nacc): Kobaz: other devices also using ubuntu? A (Kobaz): i may copy over my wpa_supplicant setup from my debian system and see if that connects A (Kobaz): nacc: nope A (Kobaz): windows, andriod, chromecast, etc B (nacc): Kobaz: ok, i think there are ways to get nm to be even more verbose, or like i suggested earlier, you coudl try nmcli and maybe you'd see why it's failing B (nacc): Kobaz: you're not using any esoteric auth, are you? A (Kobaz): nacc: nope B (nacc): Kobaz: ok -- yeah, i'm not a n-m expert, so i'm not sure how best to debug B (nacc): Kobaz: i'm guessing, though, the 'timeout' is a red herring and the auth is actually failing A (Kobaz): nacc: generally i hate to troubleshoot this way... but rebooting fixed the problem","B (nacc): Kobaz: you're not using any esoteric auth, are you?",0
23.419,2,"A (BeepAU): i have a problem with vmware, can anyone help me? B (sagarp): what problem BeepAU A (BeepAU): sagarp -- i followed a guide to use a windows disc, but i can't get the vmx file to find where i've put the image A (BeepAU): sagarp -- that may sound confusing A (BeepAU): sagarp -- http://www.vdomck.org/blog/2006/06/15/running-windows-under-ubuntu/ that's the guide i followed B (sagarp): BeepAU, where did you put the image A (BeepAU): sagarp -- i have a copy in the 'windows' folder A (BeepAU): sagarp -- i named it Windows.iso","A (BeepAU): sagarp -- i followed a guide to use a windows disc, but i can't get the vmx file to find where i've put the image",0
79.2,35,"A (fortuneHuntr): k1l, http://pastebin.com/wY9gqQPZ B (k1l): fortuneHuntr: oh B (k1l): fortuneHuntr: your sources.list points to 14.10 already B (k1l): that is bad news if you want to run 14.04 A (fortuneHuntr): k1l, why so? B (k1l): i dont know why that is set to utopic. B (k1l): but that install media was 13.10. so you cant have been 12.04 on that machine anyways. B (k1l): so i wonder what that messy system is at all A (fortuneHuntr): k1l, i have a snapshot before the do-release-upgrade if that helps B (k1l): does ""lsb_release -d"" still say 14.04? A (fortuneHuntr): 14.04.2",B (k1l): i dont know why that is set to utopic.,0
67.1,60,"B (Lothsahn): geekmasterflash: That would indicate that it's not aware that your soundcard can output both B (Lothsahn): geekmasterflash: But if you hooked your speakers up on digital and your headphones on analog, it might work B (Lothsahn): geekmasterflash: Have to feed and tuck in baby.  Will be back in like 30 mins. B (Lothsahn): geekmasterflash: if you don't have digital speakers, though, that's not going to work.  There may be another way to do it--but given that it only shows one analog output device I suspect it doesn't know your card can do them separately. A (geekmasterflash): Lothsahn: I have noticed something troubling A (geekmasterflash): Lothsahn: I normally use pavucontrol for sound A (geekmasterflash): Lothsahn: In pavucontrol, I get the option to set my built in a analog output+input A (geekmasterflash): Lothsahn: Bunt in this sound screen, it doesn't even mention my mic A (geekmasterflash): Lothsahn: Or give the option to set input B (Lothsahn): geekmasterflash: not sure why that would be A (geekmasterflash): Lothsahn: Thanks for you help, but for my own sanity I think I will buy that usb sound expansion you showed me",A (geekmasterflash): Lothsahn: I normally use pavucontrol for sound,0
72.2,14,"A (wtfman): ioria: no dice A (wtfman): just rebooted B (ioria): wtfman,  are we talking about a usb pen , right ? A (wtfman): ioria: yep A (wtfman): i formatted it with LUKS encryption on two different 16.04 machines. each one can decrypt it, but only if it formatted it. A (wtfman): if that makes sense B (ioria): wtfman,  and when you plug it, nautilus is giving you that message ? A (wtfman): first it prompts for the passphrase A (wtfman): but yeah, ioria. soon as i put the passphrase in. B (ioria): wtfman,  dmesg | tail says nothing ? A (wtfman): ioria: [   29.507375] EXT4-fs (dm-3): mounted filesystem with ordered data mode. Opts: (null)",A (wtfman): if that makes sense,0
106.1,0,"A (dckx): Hi. Yesterday, I installed some updates on Ubuntu 16.04.3. When I turned on the computer today, the GUI was not working and instead was redirected to the tty1 login. But then, I got this meeesage NMI watchdog (or something, can't remember) which apparently appears when ubuntu goes on a loop and nothing happens during 22seconds. Anyway, I reboted and went into recovery mode, then continued with ormal boot and got into the GUI login, but after typing my A (dckx): password, I can only see the login screen backgroun image and nothing else... In other words, it doesn't load the actual desktop. The mouse still works though. I can't open the terminal or anything. However, on the login screen itself, before inputting the password, I can switch to terminal login, which works. I ran apt update and upgrade which didn't help me. A (dckx): any suggestions? B (ioria): dckx, have you tried the Guest Account ? A (dckx): ioria: yes, same problem than my account B (ioria): dckx,  can you paste sudo lshw -c Video","A (dckx): Hi. Yesterday, I installed some updates on Ubuntu 16.04.3. When I turned on the computer today, the GUI was not working and instead was redirected to the tty1 login. But then, I got this meeesage NMI watchdog (or something, can't remember) which apparently appears when ubuntu goes on a loop and nothing happens during 22seconds. Anyway, I reboted and went into recovery mode, then continued with ormal boot and got into the GUI login, but after typing my",0
59.6,45,"B (ikonia): awc737: if you're sure then - I suggest you talk to the maintainers and ask for a backport A (awc737): ikonia, if all the source packages dependencies exist in 13.04 repo, and install cleanly, i shouldn't worry, right? B (ikonia): awc737: you should not do this A (awc737): why? they're current packages B (ikonia): awc737: so ? A (awc737): so any package i want to install should be ok? B (ikonia): awc737: where does that logic come from ??? A (awc737): someone put them there and tested them A (awc737): i presume B (ikonia): awc737: not against the packages you want to use A (awc737): i think thats what debian spends like 5 years doing when it releases a new os",A (awc737): so any package i want to install should be ok?,1
