conv_id,turn_id,sentence1,sentence2,label
37.34,28,"B (glitsj16): universal: that's a caching proxy server for software repositories B (glitsj16): a central machine hosts the proxy for a local network, and clients configure their APT setup to download through it A (universal): glitsj16: there is 2nd methos also -> sudo apt-get install package then sudo dpkg-reconfigure package which asks for path/to/tarball and then afterwards installs the package properly again but incase of ttf-mathematica4.1 its not happening A (universal): well if you can give it a try with both methods and apt-cache-ng, its only 3-4mbs in total with debs and tarball combined B (glitsj16): universal: perhaps because ttf-mathematica4.1 is a dummy package, have you tried method2 with mathematica-fonts ? A (universal): yes but nothing happening A (universal): ttf-mathematica4.1 is package name and mathematica-fonts is the name of the folder in ubuntu repos for its package files","A (universal): well if you can give it a try with both methods and apt-cache-ng, its only 3-4mbs in total with debs and tarball combined",0
9.721,6,"A (floppyears): will my lvm volumes get corrupted or something ? B (philthy): floppyears, you die, that's what happens. :P A (floppyears): how reliable is lvm compared to a regular partition ? A (floppyears): philthy: how ? B (philthy): floppyears, I'm just messing around with you. As far as I know, it's no different than windows or osx A (floppyears): philthy: cool, thanks",A (floppyears): philthy: how ?,1
58.3,37,"A (irisk): http://sprunge.us/HhOY B (EriC^): ok A (irisk): empty B (EriC^): ok, next time when it crashes check dmesg or /var/log/syslog A (irisk): will do A (irisk): that last command ? B (EriC^): or you could try running it from a terminal and keeping it open so it might say why it crashed","B (EriC^): ok, next time when it crashes check dmesg or /var/log/syslog",1
59.3,46,"B (Tonehog): Leefmc: are you adding the library folder-by-folder? A (Leefmc): Tonehog: Not normally A (Leefmc): Tonehog: Well A (Leefmc): Tonehog: If i add the entire library new, then no i do not. I add the entire library at once. If i have a new single album to add, i add just that. B (Tonehog): Leefmc: but you haven't found any pattern, such as when you solely add an album? A (Leefmc): Tonehog: No. B (Tonehog): Leefmc: what you really need to do is add your ""Music"" directory, then rescan the directory when you add a new album to the directory.","A (Leefmc): Tonehog: If i add the entire library new, then no i do not. I add the entire library at once. If i have a new single album to add, i add just that.",0
59.3,15,"A (Leefmc): Tonehog: No CD Drive A (Leefmc): Tonehog: And i know you dont need the drive, it can all be done via console, but still. :) B (Tonehog): Leefmc: I'm not sure what kind of problems you're having. Are you having issues with playing audio files, or audio from CD? A (Leefmc): Tonehog: Nono, im just saying i dont feel like tinkering with big distro stuff (like the desktop) at the moment, because a clean install (if needed) is not easy. So i'd rather just leave my system as is for now heh A (Leefmc): Tonehog: Eventually i need to format, so i can partition /home B (Tonehog): Leefmc: what issues are you having with amarok? A (Leefmc): Tonehog: Don't remember, but it waslike 5 of them and i finally said forget it :)","A (Leefmc): Tonehog: Nono, im just saying i dont feel like tinkering with big distro stuff (like the desktop) at the moment, because a clean install (if needed) is not easy. So i'd rather just leave my system as is for now heh",1
17.919,4,B (philinux): sandman13;~ xfce4 A (sandman13): philinux: do you know how to customize it? A (sandman13): or atleast point in me the right direction B (philinux): sandman13;~ no sorry i'm so used to unity now B (philinux): sandman13;~ someone else here might know A (sandman13): philinux: is it safe to uninstall compiz settings manager? B (philinux): sandman13;~ yes but dont mess too much there be dragons with it,B (philinux): sandman13;~ no sorry i'm so used to unity now,0
22.120,2,"A (catch-): if anyone doesn't mind helping please let me know B (james_): catch-, what's up? A (catch-): james_ I did an update earlyer today and someone else then logged in and out of gnome A (catch-): james_ it then stoped working, I'm getting errors about fonts B (james_): catch-, weird, did you finish updating? A (catch-): I've tried recreating my xorg conf, incase it is a problem in there, (I did finish updating and did another one just and I had a lot of fonts come down in it)",A (catch-): james_ I did an update earlyer today and someone else then logged in and out of gnome,1
96.1,30,"A (gvsa123): stdin: <username> is me right? B (stdin): gvsa123: 4=read, 2=write, 1=execute,  <username> is the name of each user you want write permission to A (gvsa123): stdin: oh i get the username already... i'm adding w to their /home/<username> B (stdin): gvsa123: yeah, you're just making it so that the group has write access (although if each user is in the same group then all users can read/write to each others home) A (gvsa123): stdin: chmod g+w adds write access (+w) to the groups (g) they belong to? B (stdin): gvsa123: exactly A (gvsa123): stdin: ah yeah... but then they'll also be able to write in my /home","B (stdin): gvsa123: yeah, you're just making it so that the group has write access (although if each user is in the same group then all users can read/write to each others home)",0
79.1,35,B (whoever): lvleph: does eatch ubuntu box use the same login info A (lvleph): no whoever A (lvleph): however they both have the same rsa pub A (lvleph): this shouldn't matter with samba though whoever B (whoever): can you login to your android using the working credenials from the box with the credentials that don't work A (lvleph): permission denied again whoever A (lvleph): if I don't provide credentials it does ask for a pw whoever so that is a good sign,A (lvleph): this shouldn't matter with samba though whoever,0
60.3,52,"A (linduxed): chili555: hmm, that could be why A (linduxed): chili555: arch uses the latest stuff A (linduxed): chili555: that includes the .32 kernel A (linduxed): chili555: eeepc_laptop           13936  0 B (chili555): linduxed, try removing it temporarily and see if ethernet returns:  sudo rmmod -f eeepc_laptop A (linduxed): chili555: didn't pop up in nm-applet at least... B (chili555): linduxed, aside fromm googling, i am out of ideas. sorry",A (linduxed): chili555: eeepc_laptop           13936  0,0
