conv_id,turn_id,sentence1,sentence2,label
37.41,5,"B (bekks): They work out of the box. A (larebeck): bekks, the one in the software center is old B (bekks): CUPS, not CPUS - ok :) B (bekks): larebeck: Why do you need a newer one, particularly? A (larebeck): the one in the software center is 1.7.2 ish, bekks  the latest is 2.0.2 B (bekks): larebeck: Why do you need a newer one, particularly? A (larebeck): bekks, I have a Lexmark Previal Pro705 that isn't working","B (bekks): larebeck: Why do you need a newer one, particularly?",1
72.1,51,"A (geekbri): jrib: Strange.  I actually just added into my /etc/profile.d/ a file called java_home.sh and put JAVA_HOME=$( dirname $( dirname $( readlink -e /usr/bin/java ) ) ) in there.  Then I logged in as the user and their JAVA_HOME was fine. A (geekbri): jrib: This is actually a wildly frustrating problem because I'm using something called buildr to build my java projects, and for some reason even though now JAVA_HOME is being set through profile.d .... when i try to run buildr it doesn't see the JAVA_HOME and i have to tack on JAVA_HOME buildr before each run for it to work properly.  Who knows whats going wrong here! B (jrib): geekbri: i have no experience with buildr.  Maybe it uses sh?  try <unconvertable> sudo dpkg-reconcfigure dash <unconvertable> and have sh point to bash temporarily just to see if it changes buildr's behavior A (geekbri): jrib: excellent point.. hopefully that is not the case. B (jrib): geekbri: so you are running buildr as jenkins and want JAVA_HOME to be set in jenkins environment so that buildr knows where to find java?  Is that correct? A (geekbri): jrib: bingo.  It moans that JAVA_HOME isn't set when i run it (unless of course I append JAVA_HOME=<path> to the command). A (geekbri): jrib: it looks like JAVA_HOME is set for the user now, but whatever was preventing it from being set earlier must be stopping it from being set when buildr launches a subshell (or whatevr it is, that it is doing)",A (geekbri): jrib: excellent point.. hopefully that is not the case.,0
60.1,14,"A (Plecebo): DasEi: another machine B (DasEi): Plecebo: can you boot the 15'' in live to do some checks ? A (Plecebo): DasEi: I can, give me a second to boot back into the live cd A (Plecebo): DasEi: how would I boot the 15? B (DasEi): Plecebo: just boot the broken machine (Icalled it 15'') into live cd A (Plecebo): DasEi: ok its booting up now B (DasEi): Plecebo: how many drives has the pc ?",A (Plecebo): DasEi: how would I boot the 15?,1
65.1,54,"A (rdz): darkvertex, i would like ot achieve to have a setup, where second screen is cloned and the first uses the small resolution A (rdz): darkvertex, since the second monitor will most of the times be 1280x1024 or 1024x768, i will like to use those modes as well on the internal screen in order to properly clone B (darkvertex): <unconvertable> rdz: i believe you should change HorizSync to 28.0 - 65.0 and VertRefresh to 50.0 - 63.0 . we'll leave Option ""metamodes"" ""CRT: 1280x1024_60 +0+0"" alone for now A (rdz): darkvertex, i need to leave.. thanks a lot for your time A (rdz): darkvertex, if you figured out soemthing, i'll ask again later B (darkvertex): <unconvertable> rdz: ok...see you A (rdz): darkvertex, in which monitor serction do i hjave to change that?","A (rdz): darkvertex, i need to leave.. thanks a lot for your time",0
69.1,57,"B (wabash): Yamakiri: any info on the mouseover of the red !? A (Yamakiri): Nope no info A (Yamakiri): There is also no info under ""Used"" and ""Unused"", it also says ""lvm"" on the far right B (wabash): Oh..... A (Yamakiri): But the other partition has used and unused... B (wabash): It's beyond my knowledge maybe. I've not used LVM A (Yamakiri): I was wondering if there was a way to recklessly force it?",B (wabash): Oh.....,0
61.1,52,B (Theaxiom): spanther: /dev/sdd5 is my / partition A (spanther): Theaxiom:  well sdd5 doesnt look correct Oo A (spanther): sda or hda would look correct but sdd? never saw this before A (spanther): do you have masses of harddrives? B (Theaxiom): spanther: from my fstab: /dev/sdd5           30722       59577   231785788+  83  Linux A (spanther): Theaxiom:  how much harddrives do you use B (Theaxiom): spanther: I have 4,A (spanther): do you have masses of harddrives?,0
60.1,49,"A (Plecebo): DasEi: one second B (DasEi): Plecebo: get which drive it is to easier find it back in bios A (Plecebo): DasEi: then change the bios to boot from that drive? B (DasEi): Plecebo: should work -- see ya ? B (DasEi): sudo reboot A (Plecebo): DasEi: cool thanks, i'll try it out. Thanks for all your help B (DasEi): thank if works ;-)",B (DasEi): Plecebo: should work -- see ya ?,0
73.2,28,"B (dakotawulfy): ok speed for wireless 130-150 Mbps B (dakotawulfy): n that is B (dakotawulfy): aaas A (aaas): dakotawulfy yes im sure im connected that way, but i think that depends on signal quality right? B (dakotawulfy): so u should be using the n A (aaas): so say i walk across the house A (aaas): it could drop to <54","A (aaas): dakotawulfy yes im sure im connected that way, but i think that depends on signal quality right?",0
18.1024,7,"B (_jason): michael117: have you been running gui programs with sudo? A (michael117): _jason: maybe like nautilus a week ago to access some folders belonging to root B (_jason): michael117: use gksudo when you do that, not sudo.  Did it say anything for ICEauthority? A (michael117): _jason: -rw-------  1 michael michael 1431 2006-03-27 15:42 /home/michael/.ICEauthority B (_jason): michael117: 'sudo chown $USER:$USER ~/.Xauthority' A (michael117): _jason: okay, now what? B (_jason): michael117: now it should work",A (michael117): _jason: -rw-------  1 michael michael 1431 2006-03-27 15:42 /home/michael/.ICEauthority,0
17.919,1,A (sandman13): what would be the best alternative to unity? B (philinux): sandman13;~ xfce4 A (sandman13): philinux: do you know how to customize it? A (sandman13): or atleast point in me the right direction B (philinux): sandman13;~ no sorry i'm so used to unity now,B (philinux): sandman13;~ xfce4,0
71.1,56,"B (tatertots): alias_neo: you might be better served by obtaining some additional 10/100/1000 network adapters that connect via a slot on the board or even usb 3.0 A (alias_neo): tatertots: That would be unfortunate, the goal was to free up two of the existing ports on my Ubnt switch by switching the server to the fiber channel and I could use the currently unused SFP ports on the switch A (alias_neo): Is there likely to be anything I can use the connection between this card and my switch for? Even if I re-imlpement my ZFS pool using them, or am I just trying to use incompatible hardware? In which case I just wasted a bit of cash on some useless kit ;) B (tatertots): alias_neo: according to http://www.qlogic.com/Resources/Documents/DataSheets/Adapters/Datasheet_2400Series_FCAdapter.pdf  that would be using the hardware outside of it's use case as per the manufacture, not saying you can't but it's so far out in ""unsupported"" land..you'd be out there by yourself in doing so A (alias_neo): tatertots: The fact they supply the following software is what gave me the idea it'd work; ""FC-FCoE, iSCSI, and Ethernet Networking drivers"" B (tatertots): alias_neo: the ip portion is encapsulated, you would have to do and be able to do some heavy duty reverse engineering to work that out..depending on how much your time is worth (to you) it might be worth trying A (alias_neo): tatertots: It's worth too much to bother with that, I'll just buy another card.","B (tatertots): alias_neo: according to http://www.qlogic.com/Resources/Documents/DataSheets/Adapters/Datasheet_2400Series_FCAdapter.pdf  that would be using the hardware outside of it's use case as per the manufacture, not saying you can't but it's so far out in ""unsupported"" land..you'd be out there by yourself in doing so",0
79.1,53,"B (whoever): , so that is mostlikly your problem A (lvleph): whoever, http://pastebin.com/Pi6Gb19L A (lvleph): that isn't what I meant whoever any I pasted the actual smb.conf B (whoever): lvleph:  can you post your entire conf  i think i see  a problem A (lvleph): whoever, that is the entire conf B (whoever): lvleph: do you want to allow annymouse A (lvleph): yes",B (whoever): lvleph:  can you post your entire conf  i think i see  a problem,1
