Conversation ID,Time Taken,Conversational Friction (Y/N) ,Conversational Success ,Ending,Type,
93.1,18 minutes,Yes,Some Progress,Conversation had a natural End,Type 1 ,
77.3,16 minutes,Yes,Success,Conversation had a natural End,Type 1 ,
75.1,17 minutes,No,Some Progress,Conversation Ended Abruptly,Type 1 ,
74.1,9 minutes,No,Some Progress,Conversation had a natural End,Type 1 ,
67.1,8 minutes,Yes,Some Progress,Conversation had a natural End,Type 1 ,
60.1,7 minutes,No,Success,Conversation had a natural End,Type 1 ,
56.2,14 minutes,Yes,Some Progress,Conversation had a natural End,Type 1 ,
53.1,10 minutes,No,Some Progress,Conversation had a natural End,Type 1 ,
37.41,13 minutes,Yes,Some Progress,Conversation Ended Abruptly,Type 1 ,
37.22,9 minutes,Yes,Success,Conversation had a natural End,Type 1 ,
33.38,4 minutes,No,No Progress,Conversation had a natural End,Type 1 ,
30.117,3 minutes,No,Some Progress,Conversation Ended Abruptly,Type 1 ,
25.270,8 minutes,Yes,Some Progress,Conversation had a natural End,Type 1 ,
22.120,3 minutes,No,Some Progress,Other,Type 1 ,The conversation moved to private messages.
16.268,1 minute,No,Some Progress,Conversation had a natural End,Type 1 ,
16.145,1 minute,No,Some Progress,Conversation had a natural End,Type 1 ,
9.334,2 minutes,No,Some Progress,Conversation Ended Abruptly,Type 1 ,
7.9847,1 minute,No,No Progress,Conversation Ended Abruptly,Type 1 ,
6.19035,1 minute,No,Some Progress,Conversation Ended Abruptly,Type 1 ,
5.38512,1 minute,No,Some Progress,Conversation Ended Abruptly,Type 1 ,
